File,Valid_Rays,Prior_NmF2,Prior_hmF2,Post_NmF2,Post_hmF2,Abel_NmF2,Abel_hmF2,Post_Abel_RMSE,Prior_TEC_RMSE,Prior_TEC_MAE,Post_TEC_RMSE,Post_TEC_MAE,RelTEC_TEC_RMSE,RelTEC_TEC_MAE,RelTEC_TEC_bias_TECU,RelTEC_NmF2,RelTEC_hmF2,ISR_UKF_TEC_RMSE,ISR_UKF_TEC_MAE,ISR_UKF_NmF2,ISR_UKF_hmF2,EnKF_TEC_RMSE,EnKF_TEC_MAE,EnKF_NmF2,EnKF_hmF2,Ionosonde_Station,Ionosonde_Dist_km,Ionosonde_NmF2,Ionosonde_hmF2,Ionosonde_Post_RMSE,Ionosonde_Prior_RMSE,Ionosonde_Source,Processing_Time_s,Status
podTc2_GN04.2024.284.00.01.0026.R16.00_0000.0001_nc,414,1486159924465.899,295.6926401757551,9435487962191.703,259.120136134818,2063023009569.9453,288.3924252660062,3851928194186.194,219.76531135501043,161.30080174633545,48.883347453124344,39.35754534941034,,,,,,,,,,,,,,None,,,,,,None,9.371040105819702,Success
podTc2_GN04.2024.284.00.01.0027.R05.01_0000.0001_nc,383,2100073690477.6367,393.70056859818914,2164746399021.4062,413.08523134745224,2472055251400.8203,367.6156955859609,503812050556.8478,88.20683446680177,66.19332660615828,21.257134383694,18.918771547323907,,,,,,,,,,,,,,None,,,,,,None,39.50673270225525,Success
podTc2_GN04.2024.284.00.01.0028.E02.00_0000.0001_nc,543,1568872254142.1865,288.2760894200089,1938347736123.379,330.560102802265,1720792536781.7969,295.92755596884206,416296973654.4914,115.28761478884675,88.19299870354709,8.417056831549102,6.499540964197602,,,,,,,,,,,,,,None,,,,,,None,21.14944577217102,Success
podTc2_GN04.2024.284.00.01.0028.R07.00_0000.0001_nc,1008,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,None,0.023650407791137695,Occultation too long
podTc2_GN04.2024.284.00.03.0026.E03.01_0000.0001_nc,343,2049331900614.2363,375.7309474088508,2617457838024.574,339.2518182818611,2526374195152.2188,335.4038105083275,118169593629.99854,122.10206759011388,110.38550423703923,11.808901119191372,9.947778743805161,,,,,,,,,,,,,,None,,,,,,None,22.257571697235107,Success
podTc2_GN04.2024.284.00.03.0033.R21.01_0000.0001_nc,561,511952995965.92065,294.3101409703972,214526597656.71216,256.93942850954465,935082346030.873,291.5018747384171,406974046513.9929,97.23697041025618,91.05220954078918,18.22357503053292,13.094808297300915,,,,,,,,,,,,,,None,,,,,,None,38.76160430908203,Success
podTc2_GN04.2024.284.00.04.0028.C22.01_0000.0001_nc,405,1648735363548.8496,351.97374673319564,1704533014340.916,277.71344237049425,2176481553742.8281,315.0396172134648,423149235874.11914,109.97652787932773,97.92594156678594,13.30590351992415,11.327212837704794,,,,,,,,,,,,,,None,,,,,,None,24.834935903549194,Success
podTc2_GN04.2024.284.00.04.0029.G05.01_0000.0001_nc,410,1201203014125.4287,326.14320286790576,979943432448.1416,274.7134226615594,1724552801669.2852,303.43468811258333,479017989367.98895,81.21619159702138,68.53524343026224,29.01740937835512,25.477454991705496,,,,,,,,,,,,,,None,,,,,,None,24.06515622138977,Success
podTc2_GN04.2024.284.00.04.0030.C38.01_0000.0001_nc,408,1201203014125.4287,326.14320286790576,1129184050056.2852,303.493657095983,1527171987730.7969,302.9006353179239,314520152374.9646,100.28574483873504,84.42645912384775,42.67896269702968,31.007905538442905,,,,,,,,,,,,,,None,,,,,,None,16.602679014205933,Success
podTc2_GN04.2024.284.00.04.0033.R19.00_0000.0001_nc,380,1993122192037.1143,284.34553396595976,12402685446147.531,264.7057503670564,2251902552106.203,289.44739143641135,6226025285354.861,245.8094646078878,174.401856643833,47.73441990701177,41.52469537165147,,,,,,,,,,,,,,None,,,,,,None,11.810747146606445,Success
podTc2_GN04.2024.284.00.05.0030.C35.00_0000.0001_nc,228,1650315581641.7158,298.28266865877356,3144253516299.797,295.31536492638423,799914092945.7224,407.08627816429737,686830114014.282,45.97817658954239,40.18717232498843,7.617390534692456,6.188902292402678,,,,,,,,,,,,,,None,,,,,,None,3.707721471786499,Success
podTc2_GN04.2024.284.00.06.0024.G30.01_0000.0001_nc,389,1814705861291.537,361.13703785698743,2530550669515.035,290.0949774092055,2358637034387.672,322.506269634799,332322290802.73456,151.47557328191158,124.30841472241674,14.238541198676643,11.948483623053685,,,,,,,,,,,,,,None,,,,,,None,32.871344804763794,Success
podTc2_GN04.2024.284.00.06.0027.G24.00_0000.0001_nc,357,2282837106032.3086,312.7633119163436,8715868735379.1875,281.17149718290295,2343159649304.6875,280.5175686992944,3071969777593.467,226.4171958750627,165.13640716122842,38.46249530570472,31.65768104967829,,,,,,,,,,,,,,None,,,,,,None,40.18481206893921,Success
podTc2_GN04.2024.284.00.06.0030.C40.00_0000.0001_nc,234,1650315581641.7158,298.28266865877356,2055283389863.6104,297.3591979517775,490033129076.5972,426.1866143899392,429164229906.9871,25.258194117807513,25.02081679474466,0.6324988670962403,0.43920560577444423,,,,,,,,,,,,,,None,,,,,,None,21.072689056396484,Success
podTc2_GN04.2024.284.00.06.0032.E13.01_0000.0001_nc,471,602517839901.3524,297.24146354703726,232596961364.49023,212.97113648488536,782104379848.9375,286.18346917223954,385362012969.54443,138.38278934922909,114.86025495313298,11.374245966687408,9.590325586233911,,,,,,,,,,,,,,None,,,,,,None,25.824171543121338,Success
podTc2_GN04.2024.284.00.07.0024.C19.01_0000.0001_nc,779,2263378565267.625,437.98906904888867,1827577508564.2422,465.8457469249912,2276849902131.203,317.9462900598162,467838674030.2088,152.0129888576213,131.4880741864148,5.368916978786596,3.6263055277950724,,,,,,,,,,,,,,None,,,,,,None,64.44951701164246,Success
podTc2_GN04.2024.284.00.07.0027.C21.01_0000.0001_nc,421,1174586711701.435,317.8292053730801,1093930066879.3086,294.98046982571753,1537280530478.0898,299.4713225969099,322322340998.4318,102.07623629017742,87.95430849735094,38.32054284786529,28.997224046643016,,,,,,,,,,,,,,None,,,,,,None,31.05321192741394,Success
podTc2_GN04.2024.284.00.08.0024.C36.01_0000.0001_nc,456,1350153065091.6416,332.052012497707,1493314160691.9258,269.0232960936786,1963993505663.379,318.56494938173427,396041801899.5645,63.24184725213287,54.55216951479074,9.84375877279595,8.301859097999598,,,,,,,,,,,,,,None,,,,,,None,32.20765995979309,Success
podTc2_GN04.2024.284.00.08.0029.E30.00_0000.0001_nc,374,2571018205639.8164,356.78963310976104,7337030576936.484,390.0211472060105,2432771553071.4375,316.4555192045931,3695444767382.847,282.63947304559105,232.9559198256167,20.612349510695562,16.97598512534467,,,,,,,,,,,,,,None,,,,,,None,18.969709873199463,Success
podTc2_GN04.2024.284.00.08.0033.C34.01_0000.0001_nc,679,351687021727.7466,294.1869300315998,384599126696.28796,310.8947151298772,431372805993.0,316.3799925717049,59569299148.73029,33.03299653403287,31.115432334369654,7.310999094063491,4.598760566264742,,,,,,,,,,,,,,None,,,,,,None,46.91278028488159,Success
