File,Valid_Rays,Prior_NmF2,Prior_hmF2,Post_NmF2,Post_hmF2,Abel_NmF2,Abel_hmF2,Post_Abel_RMSE,Prior_TEC_RMSE,Prior_TEC_MAE,Post_TEC_RMSE,Post_TEC_MAE,RelTEC_TEC_RMSE,RelTEC_TEC_MAE,RelTEC_TEC_bias_TECU,RelTEC_NmF2,RelTEC_hmF2,Processing_Time_s,Status
podTc2_GN04.2025.151.23.58.0035.G26.00_0000.0001_nc,539,1502924710227.03,355.697952552167,10537996094941.7,420,1427038029070.25,366.622488778837,2073058832704.05,81.1128672775303,52.7018732732068,15.8990693349273,13.1019022680838,16.2694067301224,13.7067553337936,-21.9543147754104,8680589486656.87,420,34.479293346405,Success
podTc2_GN04.2025.151.23.58.0036.C45.00_0000.0001_nc,586,1608142547073.82,325.277970266972,-250666005490.324,305.686363956768,1687120546326.4,337.104003582364,1204158608514.65,67.8021974354951,47.3462060835574,16.0430207422041,12.3511880455631,16.3040315846932,12.0020539840631,-1.17256177295917,-182256720803.586,305.759074849525,45.0004596710205,Success
podTc2_GN04.2025.151.23.59.0021.R20.01_0000.0001_nc,453,1132292907576.94,251.599769859381,1406839578712.21,228.148932797096,869174935212.813,236.488269161943,314501454045.894,31.0173983127143,27.2978077590998,30.0700606672858,25.0787733273491,15.4332166785451,11.5506167718598,30.7249128090582,1428047712782.56,223.007724903195,32.0543301105499,Success
podTc2_GN04.2025.151.23.59.0023.G06.00_0000.0001_nc,390,1080042048217.2,302.337636567373,1256143736156.65,312.837177809894,1158954240953.34,324.240231693495,302485422948.594,25.5481975845193,17.5488602787319,2.43079278557286,1.79589288306384,2.18956182407978,1.58549721520295,-24.698666076748,1295653998072.96,313.050277704653,19.6963877677917,Success
podTc2_GN04.2025.151.23.59.0027.E12.00_0000.0001_nc,441,1559472976001.62,331.113474070321,2071885573308.33,325.840720981883,1507766455247.59,303.203144295742,803047592917.51,36.2251421517296,26.2422460182525,4.24435427396869,3.3103031347021,4.11307170060389,2.79006222500657,11.362597331457,1907773528690.86,324.067453527838,27.8255758285522,Success
podTc2_GN04.2025.151.23.59.0037.E30.00_0000.0001_nc,629,1536584375740.34,388.269394714409,6920791706648.17,389.300340072445,1792190381007.58,330.991882413826,3463918781042.01,57.7239240282792,41.7755106634707,13.0642191674846,10.5528200238336,12.9371172418317,9.99607838940994,12.8772316184477,7670016165576.89,391.48185713148,52.0653259754181,Success
podTc2_GN05.2025.151.23.22.0045.G17.00_0000.0001_nc,1477,,,,,,,,,,,,,,,,,0.00919198989868164,Occultation too long
podTc2_GN05.2025.151.23.26.0034.C23.00_0000.0001_nc,485,172463666144.251,298.140789185093,46230546187.7013,247.003978520623,98120985261.2969,276.534627593478,38807119562.001,89.6857439631263,61.9058580424641,8.02832021844616,6.32399197912987,1.89492872700912,1.31172348793943,10.1828472018107,36696344352.8091,245.221171561759,24.2477226257324,Success
podTc2_GN05.2025.151.23.26.0034.R11.00_0000.0001_nc,466,172463666144.251,298.140789185093,77878092190.1694,240.890998971975,116503943835.869,272.138475911801,45238071252.5884,75.8312354789735,51.3178269853248,5.66578523747638,4.6687832647669,2.34562921622877,1.70666457954517,6.43663811891331,63400496231.3412,238.093470195057,15.900506734848,Success
podTc2_GN05.2025.151.23.26.0035.E31.00_0000.0001_nc,532,107031769777.769,323.236281255246,64284000727.0914,281.807482029586,90693249679.6094,303.018348999576,13288656450.4612,70.4046367628047,46.5623067973329,7.35722617376584,6.11732197581577,2.3682349239531,1.596278130002,8.47368210165546,53348031295.2131,273.378816107429,30.7801415920258,Success
podTc2_GN05.2025.151.23.29.0032.G25.01_0000.0001_nc,511,747267730553.09,364.34958446811,308730931523.406,276.346588882617,573538880118.5,358.276277381668,178753992480.827,54.2780063421169,42.9162139912032,5.32978073033062,4.01867225813927,4.07844933139364,2.61408732566628,22.0791945087791,349044022645.214,301.198768893796,17.2056858539581,Success
podTc2_GN05.2025.151.23.32.0031.E25.01_0000.0001_nc,441,492887140922.782,324.950481404391,358351426978.701,231.743983587468,362292536346.563,319.166834854209,82309787706.8898,106.232729039309,85.4078644123585,13.9332721401472,8.91844858216343,5.28638692220243,3.87280364035169,92.0801054939022,89127601017.8433,170.98960047425,8.82391357421875,Success
podTc2_GN05.2025.151.23.36.0031.G12.01_0000.0001_nc,445,373293343867.392,322.037420349853,330235424285.643,311.607265385902,330004239236.172,308.457588380835,60719630192.0559,26.6721012022927,25.9965867354909,2.19134981782215,1.32099415220605,2.06301573929083,1.35160335195539,-5.89506302426865,369065496353.616,319.857416040493,8.30098128318787,Success
podTc2_GN05.2025.151.23.37.0024.R02.00_0000.0001_nc,188,1652606343953.97,387.885388403178,28324490297443.5,460,458311799690.625,439.299609459416,19808648906533.6,75.9067478307569,74.4873670770857,60.9098748724454,54.0957787765016,18.9092598905975,15.725831635528,64.8238897655241,12811945680953.5,460,5.82801461219788,Success
podTc2_GN05.2025.151.23.37.0032.E16.01_0000.0001_nc,439,333294581338.949,339.427613749828,285222300450.894,310.975973874394,267517594017.875,298.883005384004,29083274027.192,32.5086401497462,31.9985859423717,1.58906088007318,1.11783203806618,1.60584860368694,1.244585432509,9.98423325361243,270645357694.887,308.910518503264,10.0339949131012,Success
podTc2_GN05.2025.151.23.38.0022.E04.01_0000.0001_nc,719,675466692600.585,377.280212751636,698526066847.32,402.367202247716,296452602415.813,397.336328570708,326682422606.466,34.6075078932038,29.7752959474073,4.86798020520078,3.32204024317725,4.19045665154557,3.6575800070942,45.6230430966902,371965191254.969,363.588248722946,82.650931596756,Success
podTc2_GN05.2025.151.23.38.0025.E03.00_0000.0001_nc,275,1126627236801.55,419.935414958894,32182412240388.8,490,423367090723,399.709676333465,12900878733901,73.2389940866575,71.6870807146699,61.8573455460337,57.4018323207404,20.180140271115,16.0847007604942,64.0766641149544,14981998430458.2,490,9.57775902748108,Success
podTc2_GN05.2025.151.23.39.0024.R08.01_0000.0001_nc,432,454025500488.155,369.371700658885,366515900221.13,282.211928417704,274884367304,358.919567499688,122959172342.72,55.2040608627854,43.466588516296,9.57998134101544,6.82689808544689,4.86569122396866,2.87939847336436,28.7357339285559,289604219905.066,292.757520241276,18.6237251758575,Success
podTc2_GN05.2025.151.23.39.0026.G10.00_0000.0001_nc,381,1128984918389.7,453.563801063285,28233600982054.2,620,656598243092,512.91935515527,5839258998019.56,99.6522265174235,90.3141319276122,84.6765667746826,65.5691942067442,47.609762444271,33.8416831555885,85.2076019673947,19874898727138.5,620,17.5567362308502,Success
podTc2_GN05.2025.151.23.39.0027.E15.00_0000.0001_nc,374,1139342070366.62,460.334039477041,25399570402729.2,590,396236234642.672,534.70320662024,7976204289829.42,84.0071802286103,76.6190011983476,80.9526093182891,67.5645306909459,38.1395736172136,29.6349633315672,83.607126357143,11680323910213,590,16.7785258293152,Success
podTc2_GN05.2025.151.23.39.0033.R17.00_0000.0001_nc,1636,,,,,,,,,,,,,,,,,0.0133607387542725,Occultation too long
podTc2_GN05.2025.151.23.40.0027.C19.00_0000.0001_nc,410,1125887540833.66,439.93295118625,33077654603000.6,630,883918596684,485.525497129952,13313695887070.2,113.076428264885,98.5992778208394,94.3384600322059,66.9975517037206,70.1274292108752,44.6051622377314,80.9896888857645,27583873030482.5,630,20.183078289032,Success
podTc2_GN05.2025.151.23.40.0039.C25.00_0000.0001_nc,807,881780434784.768,408.648442991835,2580639159681.03,512.644304173586,925561443332,417.960959013301,1045175421005.06,87.0096792206284,77.8596235642519,45.3824039839504,31.7631987994383,27.4724715632601,16.4647107031159,44.7396332674007,2213279974559.1,560,93.2202007770538,Success
podTc2_GN05.2025.151.23.41.0032.G14.00_0000.0001_nc,342,711029055644.867,419.087293578532,1438630994109.78,490,490679160644,518.369635824054,492457607696.629,87.2836502369059,81.715161778578,82.8141800395273,74.2115055554072,45.9411497474583,38.0578149766366,80.29865609982,1031030075416.44,490,12.2582113742828,Success
podTc2_GN05.2025.151.23.42.0032.E24.01_0000.0001_nc,481,373495633410.197,314.330253012227,396541923174.059,241.401090292667,235844244642.281,291.160307768576,61899980330.0897,38.9642209773756,34.0780553398897,3.1378093077355,2.23058234577243,3.38435331080486,2.46413083611668,6.84621897219137,411782816910.445,239.325805615232,15.480938911438,Success
podTc2_GN05.2025.151.23.42.0033.C40.00_0000.0001_nc,423,1064939666448.12,409.768371213431,6482751515117.78,620,883904535044,440.45255825056,767390390529.057,73.193050122979,66.9486906924246,47.6495584854252,36.1648348323442,30.0335821599382,21.3567354248823,45.7749230356111,5994561046079.45,620,22.1496553421021,Success
podTc2_GN05.2025.151.23.43.0028.R18.00_0000.0001_nc,377,1106263624949.74,417.837259188984,3107314680.28909,150,846094084359.906,384.16711982614,852663977337.377,128.406037301179,100.691233712869,47.2516850400492,34.8213986954809,27.6531451294301,18.8606179648971,48.1804408000548,3023178886.02056,150,14.486266374588,Success
podTc2_GN05.2025.151.23.43.0032.R12.01_0000.0001_nc,454,399942117539.628,314.621187229615,266944030307.688,312.754713870563,275334360836.422,319.667152678111,70566964352.9008,20.8303572812077,15.9742211614808,2.06954511728056,1.61320203110735,1.90536582133072,1.46008581710744,5.32892422733489,272573005012.045,361.106755111091,10.0150017738342,Success
podTc2_GN05.2025.151.23.44.0025.E06.01_0000.0001_nc,638,387937980334.306,319.663571756076,443011480059.422,245.988231929592,311110937214.625,154.60721978654,155084523562.554,24.4745823541156,18.5756552518556,2.40033977525382,1.95928872123894,1.99313117410161,1.49367695648744,10.7658455138081,433181131608.558,241.770879158074,24.6183044910431,Success
podTc2_GN05.2025.151.23.44.0026.C32.01_0000.0001_nc,378,388065153766.492,317.677468872591,338631622127.767,290.70407900421,207843283596.609,303.058712749805,118779391037.749,40.1942072648805,36.5668323171472,2.09696811527225,1.3289333002077,2.07637802383569,1.49919636454401,19.0320485079384,271180188762.548,283.961231754425,12.9434816837311,Success
