File,Valid_Rays,Prior_NmF2,Prior_hmF2,Post_NmF2,Post_hmF2,Abel_NmF2,Abel_hmF2,Post_Abel_RMSE,Prior_TEC_RMSE,Prior_TEC_MAE,Post_TEC_RMSE,Post_TEC_MAE,RelTEC_TEC_RMSE,RelTEC_TEC_MAE,RelTEC_TEC_bias_TECU,RelTEC_NmF2,RelTEC_hmF2,ISR_UKF_TEC_RMSE,ISR_UKF_TEC_MAE,ISR_UKF_NmF2,ISR_UKF_hmF2,EnKF_TEC_RMSE,EnKF_TEC_MAE,EnKF_NmF2,EnKF_hmF2,Processing_Time_s,Status
podTc2_GN04.2025.177.11.54.0026.G04.00_0000.0001_nc,387,459508207789.4468,264.13359008862795,263794645731.65723,193.64132945521337,358638969306.4844,265.6881263536132,120660686123.33696,141.5607201433552,110.26183138462943,3.5826801410700497,2.791993618812005,,,,,,,,,,,,,,8.757292985916138,Success
podTc2_GN04.2025.177.11.54.0027.E06.00_0000.0001_nc,421,459508207789.4468,264.13359008862795,294439855900.88086,196.91345914436198,362734267092.1953,268.21957821599915,101489639512.36926,132.84478877722785,103.95406688948758,4.268252279823212,3.329374356763587,,,,,,,,,,,,,,7.4835991859436035,Success
podTc2_GN04.2025.177.11.55.0027.C32.00_0000.0001_nc,340,456223730550.4065,260.9727690082384,421035661580.47656,191.70737174827607,443281298092.3164,260.0232441737538,68249973674.30404,43.43078982158292,33.81109807219721,5.931081562568264,4.559447538337614,,,,,,,,,,,,,,3.616288661956787,Success
podTc2_GN04.2025.177.11.55.0034.R11.00_0000.0001_nc,486,408570377957.5957,259.76877802690547,320870767847.22784,150.0,342427681538.08203,278.9894842092207,140141283280.05954,16.13592344358812,14.75200495473581,5.847081546748173,4.770314907754607,,,,,,,,,,,,,,8.191913843154907,Success
podTc2_GN04.2025.177.11.59.0027.R22.01_0000.0001_nc,422,938368761858.4883,270.0002532928065,1806949832538.25,388.45784548045566,961469268134.9453,269.4461241041608,352761851897.35614,50.65055527032408,43.9192227434515,8.998980877742348,7.81669991177596,,,,,,,,,,,,,,7.049677133560181,Success
podTc2_GN04.2025.177.12.00.0009.G31.01_0000.0001_nc,0,,,,,,,,,,,,,,,,,,,,,,,,,0.010353326797485352,Failed
podTc2_GN04.2025.177.12.00.0012.E33.01_0000.0001_nc,683,1147315217906.4795,335.1821368986828,1793539399939.129,286.458482905117,1566563853841.375,299.1906427315728,236528868521.50024,48.62076628508302,44.73352320776922,25.088869713461907,20.504338581006895,,,,,,,,,,,,,,23.102977514266968,Success
podTc2_GN04.2025.177.12.00.0013.G06.00_0000.0001_nc,0,,,,,,,,,,,,,,,,,,,,,,,,,0.015253543853759766,Failed
podTc2_GN04.2025.177.12.00.0021.C33.01_0000.0001_nc,394,1332652159785.4727,318.0647579293922,5572563306937.0,411.4023213721371,1247717970840.6191,332.12133329516627,765555315436.4325,64.38589288351893,49.139858275586995,14.041670081858216,10.36117548285577,,,,,,,,,,,,,,6.276633977890015,Success
podTc2_GN04.2025.177.12.00.0024.E12.01_0000.0001_nc,484,1451669127727.8994,273.60750638357337,1859513445432.8613,279.60132504527525,1235035523682.9521,299.55892509895307,458547911705.4933,39.59138945449247,32.46467019335565,11.637687509974517,9.008441334954474,,,,,,,,,,,,,,9.902157545089722,Success
